Region,Chapter_SubChapter,CODE,BRAND,AR_MOD,Plate_No,STATUS
XIII,Agusan del Norte,chapter02,Ford Ranger 4x4,2009,NOP 672,Functional
XIII,Agusan del Norte,chapter02,Kia Besta Van,1997,LMA 930,Functional
XIII,Agusan del Sur,chapter03,Ford Ranger 4x4,2009,NIE 552,Functional
VI,Aklan,chapter04,Ford Ranger 4x4,2009,NIS 872,Functional
I,Alaminos City - Western Pangasinan,chapter05,L300 Mitsubishi,,AEM 136,Functional
IV-B,Albay Legaspi City,chapter06,Ford Ranger 4x4,2007,ZLU 392-A020,Functional
CAR,Baguio City,chapter08,Ford Ranger 4x4,2009,NIE 522,Functional
IV-A,Batangas,chapter10,Toyota Hiace Van,2009,ZSM 560-A013,Functional
IV-A,Batangas,chapter10,Ford Ranger 4x4,2009,NIE 472,Functional
IV-A,Batangas,chapter10,Toyota Hiace (new),2013,,Functional
CAR,Benguet,chapter11,Ford Ranger 4x4,2009,NIS 852,Functional
VII,Bohol ,chapter12,Ford Ranger 4x4,2009,NIL 552,serviceable
VII,Bohol ,chapter12,Kia Besta Van,1997,GJX 349,POOR
VI,Boracay ,chapter13,Ford Ranger 4x4,2009,NIW 151,Functional
III,Bulacan ,chapter15,Toyota Hiace Van,2009,ZTT 749-A006,Functional
III,Bulacan ,chapter15,Toyota Hiace Van,2009,ZTR 794,Functional
NCR,Caloocan City ,chapter17,Toyota Hiace (new),2013,,For transfer to Zamboanga
NCR,Caloocan City ,chapter17,Kia Besta Van,1990,SEF 788,for repair
IV-B,Camarines Sur ,chapter19,Toyota Hiace Van,2009,ZRG 810-A014,Functional
VI,Capiz ,chapter20,Ford Ranger 4x4,2009,NIE 582,Functional
IV-B,Catanduanes ,chapter21,Ford Ranger 4x4,2009,NOP 662,Functional
IV-A,Cavite ,chapter22,Toyota Hiace Van,2009,ZTT 709-A012,Functional
IV-A,Cavite ,chapter22,Kia Besta Van,1996,SFC 326,Functional
VII,Cebu ,chapter23,Toyota Hiace Van,2009,ZSM 940-A015,Functional
XII,Cotabato ,chapter25,Ford Ranger 4x4,2007,ZPY 669,Functional
XII,Davao City ,chapter26,Kia Besta Van,1997,WEL 709,Functional
XI,Davao del Sur ,chapter28,Ford Ranger 4x4,2009,NIE 592,Good condition
VIII,Eastern Samar ,chapter30,Ford Ranger 4x4,2009,NIL 522,Good condition
XII,General Santos City ,chapter31,Ford Ranger 4x4,2009,NOP 622,Good Running Condition
XII,General Santos City ,chapter31,Kia Besta Van,1998,LEB 314,Aircon at patients area needs repair
X,Gingoog City ,chapter32,Ford Ranger 4x4,2009,NOP 502,Unserviceable
VI,Guimaras ,chapter33,Ford Ranger 4x4,2009,NOP 944,Functional
VIII,Hilongos ,sub05,Ford Ranger 4x4,2009,NIL 541,Functional
