longitude,latitude,NAME,TYPE,CODE,ADDRESS,REGION,WEBSITE,TELEPHONE,FAX,ADMINISTRA,CONTACT,CHAIRMAN,REMARKS
120.61798,17.59834,ABRA,CHAPTER,chapter01,"Taft Street, Bangued, Abra 2800",NORTHERN & CENTRAL LUZON,abra@redcross.org.ph,074-7525393,,Mr. Manuel James Laygo,0917-6974047,Dir. Crescencio  J. Calina,
125.52558,8.95957,AGUSAN DEL NORTE - BUTUAN CITY,CHAPTER,chapter02,"Capitol Drive, Butuan City 8600",MINDANAO REGION,agusan.norte@redcross.org.ph,085-3428521,085-8159977,Mr. Teodoro R. Cairo,0918-9184956,Felixberto L. Guiritan,
125.89779,8.60213,AGUSAN DEL SUR,CHAPTER,chapter03,"Government Center, Patin-ay, Prosperidad, Agusan del Sur 8500",MINDANAO REGION,agusan.sur@redcross.org.ph,085-3437195,085-3437195,Ms. Christyll D. Basan,0920-9548546,"Dir. Solomon Bilaoen, Jr.",
122.3649,11.71019,AKLAN,CHAPTER,chapter04,"F. Quimpo Street, Kalibo, Aklan 5600",VISAYAS REGION,aklan@redcross.org.ph,036-2681425,,Mrs. Arcely P. Pelayo,0917-3283124,Atty. Ronquillo C. Tolentino,
119.98484,16.15507,ALAMINOS CITY - WESTERN PANGASINAN,CHAPTER,chapter05,"WPDH Compound, Sabaro, Poblacion, Alaminos City, 2404 Pangasinan",NORTHERN & CENTRAL LUZON,alaminos@redcross.org.ph,075-5516356,075-5514636,Mrs. Mylene O. Manalastas,0920-9460901,Dir. Arthur F. Celeste,
123.7327,13.13857,ALBAY - LEGASPI CITY,CHAPTER,chapter06,"Corner Gov. Locsin and Fr. J.L.Bates Streets, Albay District, Legaspi City 4500",BICOL REGION,albay@redcross.org.ph,052-4813638,,Mr. Gerald R. Gapayao,0921-4984627,"Rodolfo P. Ante,  M.D.",
121.93827,10.74594,ANTIQUE,CHAPTER,chapter07,"T. A. Fornier Street (front of PNB), San Jose, Antique 5700",VISAYAS REGION,antique@redcross.org.ph,036-5407108,,Mrs. Ester L. Buenaventura,0917-8824-221,Judge Nery  Duremdes,
120.59119,16.4143,BAGUIO CITY,CHAPTER,chapter08,"39 Harrison Road, Baguio City 2600",NORTHERN & CENTRAL LUZON,baguio@redcross.org.ph,074-4424036,,Mrs. Anastacia B. Tamayo,0920-9514164,Dir. Erdolfo V. Balajadia,
120.54179,14.67964,BATAAN,CHAPTER,chapter09,"Capitol Compound, San Jose, Balanga City, Bataan 2100",NORTHERN & CENTRAL LUZON,bataan@redcross.org.ph,047-7912351,,Ms. Junilene E. Viesca,0999-9958634,Hon. Angelita J. Cruz,
121.0601,13.75979,BATANGAS,CHAPTER,chapter10,"Capitol Site, Kumintang Ibaba, Batangas City 4200",SOUTHERN LUZON,batangas@redcross.org.ph,043-7233027,,Mr. Ronald G. Generoso,0917-8824203,Atty.Vicente A. Mayo,
